epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,12129.2,0.62644,0.28347,0.00568,0.59955,0.63912,0.64301,0.57045,0.57403,1.67525,0.01084,0.0186365,0.00621217,0.0186365,0.00621217,0.0186365,0.00621217,0.0186365,0.00621217
46,12394.1,0.61335,0.27947,0.00561,0.64757,0.63768,0.66122,0.59387,0.55531,1.56711,0.01051,0.0183783,0.00612609,0.0183783,0.00612609,0.0183783,0.00612609,0.0183783,0.00612609
47,12659.3,0.6148,0.28089,0.00564,0.64443,0.62691,0.63794,0.56954,0.57363,1.66616,0.01092,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
48,12924.2,0.61464,0.27516,0.00558,0.6387,0.65297,0.65474,0.58352,0.57283,1.56083,0.01067,0.0178617,0.00595391,0.0178617,0.00595391,0.0178617,0.00595391,0.0178617,0.00595391
49,13189.8,0.60874,0.27186,0.00556,0.65303,0.65196,0.6705,0.60361,0.54487,1.55491,0.00989,0.0176035,0.00586783,0.0176035,0.00586783,0.0176035,0.00586783,0.0176035,0.00586783
50,13454.8,0.60896,0.2737,0.00549,0.6513,0.62495,0.65446,0.59007,0.54424,1.61528,0.01,0.0173452,0.00578174,0.0173452,0.00578174,0.0173452,0.00578174,0.0173452,0.00578174
51,13719.9,0.60065,0.27055,0.00545,0.6686,0.59072,0.63783,0.57587,0.55009,1.70948,0.01014,0.017087,0.00569565,0.017087,0.00569565,0.017087,0.00569565,0.017087,0.00569565
52,13984.2,0.60307,0.26587,0.00543,0.65238,0.6009,0.64623,0.58302,0.5526,1.78816,0.01021,0.0168287,0.00560957,0.0168287,0.00560957,0.0168287,0.00560957,0.0168287,0.00560957
53,14249.5,0.60157,0.26483,0.00552,0.62461,0.60215,0.62856,0.56936,0.55197,1.88047,0.01013,0.0165704,0.00552348,0.0165704,0.00552348,0.0165704,0.00552348,0.0165704,0.00552348
54,14519.9,0.59844,0.26185,0.00543,0.61681,0.61744,0.63113,0.57219,0.54492,1.80292,0.00976,0.0163122,0.00543739,0.0163122,0.00543739,0.0163122,0.00543739,0.0163122,0.00543739
55,14786.2,0.59925,0.2637,0.00541,0.64668,0.59759,0.63397,0.5712,0.54436,1.71569,0.00974,0.0160539,0.0053513,0.0160539,0.0053513,0.0160539,0.0053513,0.0160539,0.0053513
56,15050.1,0.59609,0.26433,0.00541,0.63352,0.63963,0.64167,0.57917,0.54079,1.6752,0.00959,0.0157957,0.00526522,0.0157957,0.00526522,0.0157957,0.00526522,0.0157957,0.00526522
57,15314,0.59788,0.26095,0.00538,0.6707,0.59217,0.64807,0.58665,0.53249,1.65956,0.0096,0.0155374,0.00517913,0.0155374,0.00517913,0.0155374,0.00517913,0.0155374,0.00517913
58,15579.2,0.58801,0.25919,0.00531,0.64935,0.60839,0.65098,0.58836,0.54173,1.63983,0.00997,0.0152791,0.00509304,0.0152791,0.00509304,0.0152791,0.00509304,0.0152791,0.00509304
59,15845.1,0.58539,0.2535,0.0053,0.64187,0.63333,0.65084,0.58748,0.55211,1.64046,0.01036,0.0150209,0.00500696,0.0150209,0.00500696,0.0150209,0.00500696,0.0150209,0.00500696
60,16108.7,0.58212,0.25668,0.00523,0.65177,0.60002,0.6515,0.58987,0.5487,1.70995,0.01011,0.0147626,0.00492087,0.0147626,0.00492087,0.0147626,0.00492087,0.0147626,0.00492087
61,16372.3,0.5872,0.25415,0.00522,0.68549,0.59124,0.66062,0.59204,0.54681,1.67358,0.01031,0.0145043,0.00483478,0.0145043,0.00483478,0.0145043,0.00483478,0.0145043,0.00483478
62,16637.6,0.5818,0.25412,0.00529,0.63344,0.63192,0.65689,0.58696,0.54683,1.64676,0.0103,0.0142461,0.0047487,0.0142461,0.0047487,0.0142461,0.0047487,0.0142461,0.0047487
63,16902.5,0.57943,0.24966,0.00519,0.59246,0.63606,0.64449,0.5735,0.54556,1.69385,0.0101,0.0139878,0.00466261,0.0139878,0.00466261,0.0139878,0.00466261,0.0139878,0.00466261
64,17167.5,0.57864,0.25145,0.00515,0.64658,0.60873,0.63984,0.58127,0.52044,1.68805,0.00898,0.0137296,0.00457652,0.0137296,0.00457652,0.0137296,0.00457652,0.0137296,0.00457652
65,17430.5,0.56854,0.24415,0.00509,0.63745,0.62145,0.64577,0.58826,0.51931,1.69039,0.00893,0.0134713,0.00449043,0.0134713,0.00449043,0.0134713,0.00449043,0.0134713,0.00449043
66,17694,0.56661,0.2451,0.00507,0.6387,0.61892,0.64751,0.58725,0.51972,1.70244,0.00893,0.013213,0.00440435,0.013213,0.00440435,0.013213,0.00440435,0.013213,0.00440435
67,17957,0.56563,0.24025,0.00504,0.6585,0.59765,0.64961,0.59124,0.51641,1.70948,0.00879,0.0129548,0.00431826,0.0129548,0.00431826,0.0129548,0.00431826,0.0129548,0.00431826
68,18221,0.56304,0.2402,0.00504,0.61413,0.63668,0.64201,0.58387,0.51536,1.73764,0.00878,0.0126965,0.00423217,0.0126965,0.00423217,0.0126965,0.00423217,0.0126965,0.00423217
69,18486.6,0.56629,0.24366,0.00503,0.61249,0.64494,0.64572,0.5874,0.51701,1.75266,0.00886,0.0124383,0.00414609,0.0124383,0.00414609,0.0124383,0.00414609,0.0124383,0.00414609
70,18751,0.56009,0.23777,0.00494,0.64876,0.61077,0.65161,0.59219,0.51831,1.74824,0.00891,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
71,19015.1,0.55854,0.23831,0.00497,0.65037,0.6133,0.6542,0.59401,0.51698,1.74637,0.00887,0.0119217,0.00397391,0.0119217,0.00397391,0.0119217,0.00397391,0.0119217,0.00397391
72,19278.8,0.56262,0.24003,0.00504,0.63407,0.62453,0.65685,0.59657,0.51612,1.73609,0.0089,0.0116635,0.00388783,0.0116635,0.00388783,0.0116635,0.00388783,0.0116635,0.00388783
73,19543.9,0.55498,0.23596,0.00497,0.64942,0.62097,0.66149,0.60116,0.51427,1.70807,0.00886,0.0114052,0.00380174,0.0114052,0.00380174,0.0114052,0.00380174,0.0114052,0.00380174
74,19808.5,0.54836,0.23033,0.00487,0.66557,0.60353,0.66487,0.60496,0.51246,1.71495,0.00881,0.011147,0.00371565,0.011147,0.00371565,0.011147,0.00371565,0.011147,0.00371565
75,20073.7,0.54608,0.23071,0.00486,0.65037,0.61718,0.66193,0.60119,0.51293,1.72652,0.00884,0.0108887,0.00362957,0.0108887,0.00362957,0.0108887,0.00362957,0.0108887,0.00362957
76,20336.5,0.54419,0.23119,0.00483,0.67435,0.596,0.65832,0.59757,0.51184,1.74497,0.0088,0.0106304,0.00354348,0.0106304,0.00354348,0.0106304,0.00354348,0.0106304,0.00354348
77,20599.3,0.5447,0.23515,0.00483,0.64659,0.61531,0.64916,0.58657,0.5131,1.75739,0.00884,0.0103722,0.00345739,0.0103722,0.00345739,0.0103722,0.00345739,0.0103722,0.00345739
78,20862.4,0.53805,0.22797,0.00479,0.64005,0.63675,0.65152,0.5882,0.51151,1.76821,0.00881,0.0101139,0.0033713,0.0101139,0.0033713,0.0101139,0.0033713,0.0101139,0.0033713
79,21126.1,0.53765,0.22747,0.00474,0.62893,0.63683,0.65458,0.59222,0.50969,1.78098,0.00874,0.00985565,0.00328522,0.00985565,0.00328522,0.00985565,0.00328522,0.00985565,0.00328522
